Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
109,PC25,GPIO_PC25,GPIO,Digital,In/Out,Low,,,NORMAL
110,PC26,GPIO_PC26,GPIO,Digital,In/Out,Low,,,NORMAL
111,PC27,GPIO_PC27,GPIO,Digital,In/Out,Low,,,NORMAL
112,PC28,GPIO_PC28,GPIO,Digital,In/Out,Low,,,NORMAL
113,PA27,GPIO_PA27,GPIO,Digital,In/Out,Low,,,NORMAL
119,PA30,,Available,,,,,,NORMAL
120,PA31,,Available,,,,,,NORMAL
121,PB30,,Available,,,,,,NORMAL
122,PB31,GPIO_PB31,GPIO,Digital,In/Out,High,,,NORMAL
123,PC30,GPIO_PC30,GPIO,Digital,In/Out,Low,,,NORMAL
124,PC31,GPIO_PC31,GPIO,Digital,In/Out,Low,,,NORMAL
125,PB00,GPIO_PB00,GPIO,Digital,In/Out,Low,,,NORMAL
126,PB01,GPIO_PB01,GPIO,Digital,In/Out,Low,,,NORMAL
127,PB02,GPIO_PB02,GPIO,Digital,In/Out,Low,,,NORMAL
128,PB03,GPIO_PB03,GPIO,Digital,In/Out,Low,,,NORMAL
